ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket,DetectedIssue
235,54,3,2024-03-18,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
236,55,16,2025-03-03,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
237,44,2,2025-09-29,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
238,47,9,2023-04-18,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
239,45,9,2024-01-28,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
240,20,16,2024-11-09,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
241,61,15,2024-04-22,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
242,20,20,2025-06-07,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
243,24,11,2023-02-17,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,-1.0 to -0.5,No Issue Detected
244,36,4,2023-08-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
245,50,3,2023-03-23,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
246,71,12,2023-07-23,4,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
247,28,6,2025-11-24,5,"Excellent  product,  highly    recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
248,81,6,2023-07-15,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
249,75,2,2023-01-04,1,"Not    satisfied,  the  product  broke  after  a  week.",-0.6288,Negative,-1.0 to -0.5,No Issue Detected
250,22,11,2023-09-21,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,-0.49 to 0.0,No Issue Detected
251,16,2,2024-02-01,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
252,6,6,2025-03-18,5,The  build  quality  is    impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
253,75,15,2024-08-03,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive,0.5 to 1.0,No Issue Detected
254,30,19,2025-12-31,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
255,13,16,2024-01-23,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
256,91,3,2024-02-11,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
257,84,13,2023-10-03,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
258,34,7,2025-05-13,4,"Great    purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
259,75,2,2023-08-24,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
260,44,18,2024-03-07,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
261,29,12,2024-10-15,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
262,45,7,2024-07-07,5,Five  stars  for    the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
263,47,8,2024-10-21,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
264,96,18,2025-08-19,4,Shipping  was  fast  and  the    item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
265,22,19,2024-05-14,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
266,62,5,2025-02-22,5,"Excellent  product,    highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
267,55,19,2023-12-01,3,"The  product  is    okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
268,98,17,2023-10-28,5,The  build  quality    is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
269,75,4,2023-11-18,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
270,46,6,2023-09-25,1,The  color  was  different  from  what  was  shown.,0.0,Negative,0.0 to 0.49,No Issue Detected
271,21,17,2025-08-08,5,The    build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
272,39,17,2023-03-26,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
273,10,2,2024-10-09,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
274,93,11,2023-04-07,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
275,45,12,2023-04-03,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
276,86,1,2025-01-29,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
277,22,6,2025-03-21,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
278,80,20,2023-03-01,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
279,86,5,2023-07-21,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
280,68,19,2023-11-09,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
281,71,5,2025-11-19,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
282,59,5,2023-02-17,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
283,87,13,2023-02-14,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
284,89,13,2023-09-01,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
285,29,3,2023-08-25,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
286,53,16,2023-05-04,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
287,75,6,2025-02-14,5,"I  love  this  product,  will    buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
288,68,17,2024-06-21,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
289,87,15,2023-10-04,5,Customer  support  was    very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
290,20,14,2024-09-23,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
291,17,7,2025-12-06,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
292,15,7,2025-10-19,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
293,25,13,2023-02-14,3,Not  worth    the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
294,63,13,2023-11-09,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
295,61,6,2024-10-13,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
296,85,18,2023-12-13,4,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
297,92,16,2023-08-06,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
298,41,15,2025-06-13,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
299,93,13,2024-02-01,1,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
300,22,18,2023-05-09,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
301,6,7,2023-05-30,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
302,64,19,2024-10-08,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
303,20,10,2024-04-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
304,66,14,2023-02-01,3,"Average    experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
305,87,7,2023-08-25,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
306,52,8,2025-07-19,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
307,63,16,2025-01-08,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
308,90,14,2023-04-02,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
309,70,11,2023-02-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
310,40,1,2024-11-30,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
311,52,11,2023-11-14,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
312,90,3,2023-11-05,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
313,13,3,2024-01-14,4,"I    love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
314,22,17,2025-10-06,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
315,32,7,2025-06-13,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
316,48,4,2025-08-15,5,Five  stars  for  the  quick    delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
317,15,6,2023-08-04,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
318,97,4,2023-12-15,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
319,86,6,2024-12-11,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
320,79,17,2023-02-24,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
321,58,12,2024-04-17,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
322,76,13,2024-12-01,4,"Great    purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
323,47,4,2023-04-24,4,Shipping  was    fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
324,89,5,2024-07-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
325,78,6,2023-04-17,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
326,17,14,2024-06-15,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
327,95,8,2023-08-25,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
328,100,13,2024-02-20,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
329,6,9,2024-12-07,3,The  quality  is  top-notch.,0.0,Neutral,0.0 to 0.49,No Issue Detected
330,22,14,2023-03-18,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
331,68,4,2023-08-17,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
332,2,10,2024-11-06,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
333,87,5,2024-06-02,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
334,70,9,2025-04-14,5,Five  stars  for  the  quick    delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
335,75,14,2024-03-12,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
336,8,8,2024-02-07,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
337,32,19,2024-05-22,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
338,98,4,2023-01-22,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
339,38,2,2025-01-11,5,Exceeded  my    expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
340,95,17,2025-09-16,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
341,62,3,2024-11-04,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
342,19,4,2025-06-15,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
343,84,4,2025-04-13,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
344,21,10,2025-11-02,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
345,48,4,2024-07-24,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
346,84,15,2025-06-27,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
347,75,16,2025-08-19,1,Disappointed    with  the  performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
348,52,13,2024-03-05,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
349,26,11,2024-11-19,3,"I  love  this  product,  will  buy  again!",0.6696,Mixed Positive,0.5 to 1.0,No Issue Detected
350,57,6,2025-08-22,3,Not    worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
351,55,5,2023-05-02,3,"The  product  is  okay,  but    the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
352,43,11,2025-12-22,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
353,36,15,2025-09-08,5,"Great    purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
354,50,18,2024-01-03,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
355,59,9,2024-03-04,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
356,86,14,2023-11-23,1,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery Issue
357,1,3,2024-04-01,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
358,13,15,2023-11-20,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
359,79,15,2024-05-04,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
360,33,15,2025-09-09,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
361,71,7,2024-02-12,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
362,33,11,2024-02-11,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
363,17,15,2025-04-15,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
364,46,8,2024-04-26,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
365,90,20,2025-10-24,3,"Good  quality,  but  could  be    cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
366,46,7,2023-11-14,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
367,96,1,2024-07-02,3,Not  worth  the    money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
368,34,8,2025-05-11,1,"Not  satisfied,  the  product  broke  after  a  week.",-0.6288,Negative,-1.0 to -0.5,No Issue Detected
369,48,4,2024-12-19,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
370,73,6,2023-04-13,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
371,29,1,2024-01-20,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
372,91,6,2023-05-10,4,"I  love  this  product,  will    buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
373,92,14,2025-07-12,1,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
374,89,12,2023-02-08,1,The  product    stopped  working  after  a  month.,-0.2263,Negative,-0.49 to 0.0,No Issue Detected
375,73,4,2024-12-16,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
376,38,6,2023-07-03,3,"Good  quality,    but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
377,77,4,2023-11-29,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
378,64,9,2024-03-20,2,The  product  arrived    late.,0.0,Negative,0.0 to 0.49,Delivery Issue
379,62,4,2023-01-27,5,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
380,52,4,2024-02-23,4,"I  love    this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
381,45,4,2024-01-24,3,"Good  quality,  but    could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
382,38,7,2023-09-03,4,"Good  quality,    but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
383,54,13,2024-09-05,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
384,20,3,2025-06-04,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
385,81,5,2023-06-09,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
386,86,5,2024-04-09,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
387,42,14,2025-03-29,5,Shipping  was  fast  and  the    item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
388,99,1,2025-12-10,1,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
389,14,2,2024-09-14,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
390,30,10,2023-05-22,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
391,98,20,2024-01-05,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
392,93,11,2023-06-29,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
393,6,20,2024-04-18,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
394,7,4,2024-10-19,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
395,35,9,2025-04-12,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
396,75,6,2025-09-12,3,"Good    quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
397,11,14,2024-04-23,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
398,17,7,2023-09-02,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
399,68,1,2024-07-21,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0,No Issue Detected
400,42,10,2023-06-30,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
401,93,18,2024-04-13,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
402,68,12,2025-12-16,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
403,53,14,2023-06-18,3,"Good  quality,  but    could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
404,90,7,2025-06-04,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
405,43,4,2025-09-10,5,Exceeded  my    expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
406,11,9,2025-12-15,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49,No Issue Detected
407,79,11,2023-01-12,2,Disappointed  with  the    performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
408,17,4,2023-12-12,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
409,59,19,2023-02-22,5,"I  love  this  product,  will  buy    again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
410,83,1,2023-01-11,1,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
411,32,15,2023-03-05,3,"The  product  is  okay,  but  the    instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
412,83,7,2024-05-10,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
413,60,12,2023-08-24,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
414,59,14,2025-07-31,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
415,97,8,2025-06-04,2,Disappointed  with  the    performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
416,15,17,2023-04-19,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
417,9,16,2024-11-28,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
418,94,2,2025-03-02,1,"Not  satisfied,  the  product  broke  after  a    week.",-0.6288,Negative,-1.0 to -0.5,No Issue Detected
419,68,6,2025-09-01,1,The  color  was  different  from  what  was  shown.,0.0,Negative,0.0 to 0.49,No Issue Detected
420,18,11,2023-06-10,5,"I  love  this    product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
421,75,13,2025-08-18,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
422,81,17,2025-09-30,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
423,76,18,2023-08-01,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
424,53,11,2024-03-21,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
425,89,6,2025-03-04,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,No Issue Detected
426,74,17,2024-04-07,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
427,81,11,2025-08-20,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
428,58,9,2025-01-17,5,The  build    quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
429,71,2,2023-06-08,4,Customer    support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
430,99,9,2025-08-03,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,No Issue Detected
431,94,11,2023-02-10,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
432,31,18,2025-02-14,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0,No Issue Detected
433,72,2,2025-06-11,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
434,7,18,2023-02-25,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
435,65,1,2023-02-28,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
436,11,1,2024-01-03,4,Shipping  was  fast    and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
437,73,4,2023-06-24,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
438,72,20,2023-09-13,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
439,67,11,2025-11-11,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
440,93,7,2023-07-22,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0,No Issue Detected
441,12,6,2023-09-03,1,Product  did    not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
442,28,8,2025-04-06,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,-0.49 to 0.0,No Issue Detected
443,37,13,2024-01-19,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
444,22,16,2023-10-20,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
445,25,14,2023-05-27,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49,Product Quality
446,84,14,2025-06-10,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
447,38,2,2024-08-19,4,Shipping    was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
448,75,12,2025-12-25,4,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
449,43,14,2024-03-10,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
450,92,4,2024-08-04,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0,No Issue Detected
451,68,11,2023-04-18,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0,No Issue Detected
452,42,19,2024-08-28,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
453,100,2,2023-04-23,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
454,27,9,2025-09-17,4,Customer  support    was  very  helpful.,0.6997,Positive,0.5 to 1.0,Customer Service
455,79,20,2024-07-30,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
456,2,1,2024-01-09,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,No Issue Detected
457,29,1,2024-12-12,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
458,42,20,2025-07-05,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
459,90,17,2023-06-16,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49,Delivery Issue
460,92,16,2025-08-09,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49,Product Quality
461,66,5,2025-10-11,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49,No Issue Detected
462,85,14,2023-02-02,5,The    build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0,No Issue Detected
463,5,2,2025-11-02,3,"Great  purchase,  very    satisfied.",0.8016,Mixed Positive,0.5 to 1.0,No Issue Detected
464,73,11,2024-05-28,4,"Great  purchase,  very    satisfied.",0.8016,Positive,0.5 to 1.0,No Issue Detected
465,43,12,2025-12-14,1,Disappointed    with  the  performance.,-0.4767,Negative,-0.49 to 0.0,No Issue Detected
466,49,16,2023-02-16,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49,Delivery Issue
467,29,16,2023-07-16,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0,No Issue Detected
